Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
@medazzamatt,@medazzamatt,<[2021-05-20T19:26:30.642Z]>,User,,,,,,,Mon Jun 22 13:30:36 CEST 2020,,,,"sim! Sou o Medazza e tb a Mel Brave ❤  bigender, pode usar qualquer pronome. músico, videomaker & arqueóloga da música pop (cuido do @escutak7)",,http://pbs.twimg.com/profile_images/1390840861743849478/UIhSJB_T_bigger.jpg,228,220,Mel Brave,,,,
@biayvr,@biayvr,<[2021-05-20T19:26:30.642Z]>,User,,,,,,,,,,,,,,,,,,,,
@calacai_,@calacai_,"<[2021-05-20T19:26:30.686Z, 2021-05-20T19:27:00.636Z, 2021-05-20T19:27:10.712Z]>",User,,,,,,,Sat Jul 14 18:54:54 CEST 2012,,,,"COSAS DE NARANJO, JAMÁS LO ENTENDERÍAS. Entrenando para dibujante. Artista 3D. Técnico de Sonido. Fotógrafa.
#ER #NARANJO #CALACAI_",,http://pbs.twimg.com/profile_images/1350476668184440832/D48Mkiz3_bigger.jpg,251,144,Aitel,"Donde caiga, Spain",,,
@one_dead_star,@one_dead_star,"<[2021-05-20T19:26:30.771Z, 2021-05-20T19:27:04.719Z]>",User,,,,,,,Wed Aug 11 15:48:31 CEST 2010,,,,"MUSE | QUEEN | tons of other amazing bands, music in general | doggos | feminist | currently imaginary dating Matt Bellamy and Roger Taylor | flol",,http://pbs.twimg.com/profile_images/1389014852417490948/-mQrHj5V_bigger.jpg,436,789,Ophélia Ortónima: ESC Fan Account,Portugal,,,
@baldheadzizou,@baldheadzizou,<[2021-05-20T19:26:30.814Z]>,User,,,,,,,Sun Aug 30 03:48:32 CEST 2009,,,,"HALA MADRID/ antifa
/Vincius",,http://pbs.twimg.com/profile_images/1380308917566193673/6mqFLedf_bigger.jpg,2832,834,Studio Ghibli,"Barcelona, Spain",,,
@docevania,@docevania,<[2021-05-20T19:26:30.858Z]>,User,,,,,,,Wed Jul 06 17:31:33 CEST 2011,,,,Loves food and people :)  working up to being the most successful person I know!,,http://pbs.twimg.com/profile_images/1366457438904463360/o4gXp8Aq_bigger.jpg,1534,701,Vania #FBPE #BLM 🇵🇹🇬🇧🇪🇺,London,,,
@getoiist,@getoiist,<[2021-05-20T19:26:31.198Z]>,User,,,,,,,Thu Oct 22 23:35:04 CEST 2020,,,,mista's gf,,http://pbs.twimg.com/profile_images/1390469506699497472/-xDAPyHr_bigger.jpg,136,290,vanesa 🇮🇹🇷🇸,she/her | 19 | SPOILERS,,,
@michaeljonf,@michaeljonf,<[2021-05-20T19:26:31.219Z]>,User,,,,,,,Wed Dec 24 14:17:09 CET 2008,,,,"Happy, Smiley, Short, Beardy and sometimes (often) grumpy. 🏳️‍🌈 (He/him)",,http://pbs.twimg.com/profile_images/1343966776393158656/avTrJwAr_bigger.jpg,1125,830,MJ,"London, England",,,
@ladyjazmana,@ladyjazmana,<[2021-05-20T19:26:31.219Z]>,User,,,,,,,Sun Jan 18 18:56:55 CET 2009,,,,"The Salvador Dali of our generation, award winning dancer & the Andy Warhol of @kylieminogue fandom. @kyliewines Ambassador",,http://pbs.twimg.com/profile_images/1346233337199927303/LTUdzfwC_bigger.jpg,607,1373,Dame Lady Jaz,London Town,,,
@kommetvision,@kommetvision,<[2021-05-20T19:26:31.228Z]>,User,,,,,,,Tue May 24 22:36:29 CEST 2016,,,,"English teacher, activist, student, feminist, amateur cook, hardened gothic-souled melomaniac.  
Eurofan lover of #Eurovision.
Cohost of @EscfromAZ",,http://pbs.twimg.com/profile_images/996072406505664517/ma53GdCs_bigger.jpg,507,222,Kommet77 🇪🇸 🇬🇷 🇸🇲 🇫🇷 🇫🇮 🇷🇸 🇺🇦,"León, España",,,
