Source,Target,Type,Kind,Id,Label,timeset,Weight
@thisismaneskin,@stevievanzandt,Directed,Quote,2332,,"<[2021-05-20T19:25:23.476Z, 2021-05-20T19:25:30.458Z, 2021-05-20T19:25:30.798Z, 2021-05-20T19:25:32.426Z, 2021-05-20T19:25:32.460Z, 2021-05-20T19:25:32.884Z, 2021-05-20T19:25:33.085Z, 2021-05-20T19:25:33.140Z, 2021-05-20T19:25:34.160Z, 2021-05-20T19:25:35.351Z, 2021-05-20T19:25:35.962Z, 2021-05-20T19:25:36.139Z, 2021-05-20T19:25:36.706Z, 2021-05-20T19:25:37.236Z, 2021-05-20T19:25:37.271Z, 2021-05-20T19:25:40.254Z, 2021-05-20T19:25:40.516Z, 2021-05-20T19:25:40.847Z, 2021-05-20T19:25:41.262Z, 2021-05-20T19:25:42.517Z, 2021-05-20T19:25:44.355Z, 2021-05-20T19:25:48.172Z, 2021-05-20T19:25:52.306Z, 2021-05-20T19:25:52.817Z, 2021-05-20T19:25:53.523Z, 2021-05-20T19:25:53.997Z, 2021-05-20T19:25:54.805Z, 2021-05-20T19:25:55.099Z, 2021-05-20T19:25:56.179Z, 2021-05-20T19:25:59.005Z, 2021-05-20T19:25:59.514Z, 2021-05-20T19:26:00.390Z, 2021-05-20T19:26:00.500Z, 2021-05-20T19:26:02.176Z, 2021-05-20T19:26:05.720Z, 2021-05-20T19:26:06.119Z, 2021-05-20T19:26:06.919Z, 2021-05-20T19:26:07.462Z, 2021-05-20T19:26:12.579Z, 2021-05-20T19:26:14.043Z, 2021-05-20T19:26:14.306Z, 2021-05-20T19:26:18.391Z, 2021-05-20T19:26:18.738Z, 2021-05-20T19:26:25.212Z, 2021-05-20T19:26:25.664Z, 2021-05-20T19:26:28.704Z, 2021-05-20T19:26:30.584Z, 2021-05-20T19:26:31.416Z, 2021-05-20T19:26:38.987Z, 2021-05-20T19:26:41.157Z, 2021-05-20T19:26:42.639Z, 2021-05-20T19:26:43.703Z, 2021-05-20T19:26:44.313Z, 2021-05-20T19:26:46.699Z, 2021-05-20T19:26:47.573Z, 2021-05-20T19:26:48.266Z, 2021-05-20T19:26:51.180Z, 2021-05-20T19:26:55.509Z, 2021-05-20T19:26:57.263Z, 2021-05-20T19:27:02.969Z, 2021-05-20T19:27:05.212Z, 2021-05-20T19:27:06.342Z, 2021-05-20T19:27:07.380Z, 2021-05-20T19:27:18.433Z, 2021-05-20T19:27:21.051Z, 2021-05-20T19:27:35.369Z, 2021-05-20T19:27:45.993Z, 2021-05-20T19:28:00.764Z, 2021-05-20T19:28:03.450Z, 2021-05-20T19:28:33.166Z, 2021-05-20T19:28:36.632Z, 2021-05-20T19:28:36.697Z, 2021-05-20T19:28:55.049Z, 2021-05-20T19:29:00.108Z, 2021-05-20T19:29:03.472Z]>",75
@dumbridgech,@soyconchaentro2,Directed,Mention,2333,,<[2021-05-20T19:25:23.517Z]>,1
@dumbridgech,@soyconchaentro2,Directed,Retweet,2334,,<[2021-05-20T19:25:23.518Z]>,1
@ilonawinner,@vika71rus,Directed,Mention,2335,,<[2021-05-20T19:25:23.525Z]>,1
@ilonawinner,@vika71rus,Directed,Retweet,2336,,<[2021-05-20T19:25:23.525Z]>,1
@yalli_2day,@eurofanchik,Directed,Mention,2337,,<[2021-05-20T19:25:23.616Z]>,1
@yalli_2day,@eurofanchik,Directed,Retweet,2338,,<[2021-05-20T19:25:23.617Z]>,1
@siy4eon,@eurovision,Directed,Quote,2339,,<[2021-05-20T19:25:23.644Z]>,1
@not_my_design,@velvetlusia,Directed,Mention,2340,,<[2021-05-20T19:25:23.657Z]>,1
@not_my_design,@velvetlusia,Directed,Retweet,2341,,<[2021-05-20T19:25:23.657Z]>,1
